22:15:00.590 -> ESP-ROM:esp32s3-20210327
22:15:00.627 -> Build:Mar 27 2021
22:15:00.627 -> rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
22:15:00.627 -> SPIWP:0xee
22:15:00.627 -> Octal Flash Mode Enabled
22:15:00.627 -> For OPI Flash, Use Default Flash Boot Mode
22:15:00.627 -> mode:SLOW_RD, clock div:1
22:15:00.627 -> load:0x3fce3818,len:0xf88
22:15:00.627 -> load:0x403c9700,len:0x4
22:15:00.627 -> load:0x403c9704,len:0xa14
22:15:00.627 -> load:0x403cc700,len:0x2d64
22:15:00.627 -> entry 0x403c988c
22:17:56.365 -> 1: -53.00, 2: -39.00, 3: -47.00, 4: -49.00
22:17:58.382 -> 1: -55.00, 2: -38.00, 3: -47.00, 4: -49.00
22:18:00.363 -> 1: -54.00, 2: -49.00, 3: -56.00, 4: -49.00
22:18:02.366 -> 1: -54.00, 2: -38.00, 3: -47.00, 4: -49.00
22:18:04.381 -> 1: -54.00, 2: -38.00, 3: -47.00, 4: -49.00
22:18:06.345 -> 1: -54.00, 2: -49.00, 3: -55.00, 4: -48.00
22:18:08.347 -> 1: -53.00, 2: -38.00, 3: -56.00, 4: -50.00
22:18:10.388 -> 1: -54.00, 2: -39.00, 3: -57.00, 4: -49.00
22:18:12.352 -> 1: -52.00, 2: -39.00, 3: -50.00, 4: -51.00
22:18:14.354 -> 1: -53.00, 2: -39.00, 3: -56.00, 4: -50.00
22:18:16.357 -> 1: -53.00, 2: -39.00, 3: -46.00, 4: -50.00
22:18:18.360 -> 1: -53.00, 2: -39.00, 3: -56.00, 4: -51.00
22:18:20.378 -> 1: -53.00, 2: -50.00, 3: -57.00, 4: -51.00
22:18:22.362 -> 1: -53.00, 2: -39.00, 3: -46.00, 4: -50.00
22:18:24.365 -> 1: -52.00, 2: -38.00, 3: -59.00, 4: -50.00
22:18:26.395 -> 1: -56.00, 2: -44.00, 3: -48.00, 4: -56.00
22:18:28.369 -> 1: -52.00, 2: -48.00, 3: -55.00, 4: -55.00
22:18:30.370 -> 1: -55.00, 2: -40.00, 3: -46.00, 4: -51.00
22:18:32.388 -> 1: -55.00, 2: -37.00, 3: -55.00, 4: -51.00
22:18:34.375 -> 1: -55.00, 2: -36.00, 3: -55.00, 4: -51.00
22:18:36.417 -> 1: -55.00, 2: -36.00, 3: -48.00, 4: -52.00
22:18:38.397 -> 1: -55.00, 2: -37.00, 3: -48.00, 4: -52.00
22:18:40.381 -> 1: -54.00, 2: -50.00, 3: -53.00, 4: -53.00
22:18:42.420 -> 1: -56.00, 2: -37.00, 3: -53.00, 4: -52.00
22:18:44.411 -> 1: -52.00, 2: -36.00, 3: -58.00, 4: -53.00
22:18:46.386 -> 1: -53.00, 2: -36.00, 3: -47.00, 4: -56.00
22:18:48.421 -> 1: -56.00, 2: -36.00, 3: -57.00, 4: -54.00
22:18:50.428 -> 1: -56.00, 2: -37.00, 3: -47.00, 4: -52.00
22:18:52.411 -> 1: -53.00, 2: -36.00, 3: -47.00, 4: -57.00
22:18:54.440 -> 1: -52.00, 2: -39.00, 3: -48.00, 4: -47.00
22:18:56.397 -> 1: -47.00, 2: -36.00, 3: -49.00, 4: -53.00
22:18:58.442 -> 1: -47.00, 2: -43.00, 3: -55.00, 4: -59.00
22:19:00.424 -> 1: -59.00, 2: -45.00, 3: -63.00, 4: -47.00
22:19:02.439 -> 1: -56.00, 2: -44.00, 3: -55.00, 4: -50.00
22:19:04.404 -> 1: -48.00, 2: -49.00, 3: -56.00, 4: -69.00
22:19:06.406 -> 1: -68.00, 2: -49.00, 3: -60.00, 4: -39.00
22:19:08.417 -> 1: -52.00, 2: -48.00, 3: -59.00, 4: -41.00
22:19:10.450 -> 1: -54.00, 2: -51.00, 3: -55.00, 4: -40.00
22:19:12.420 -> 1: -55.00, 2: -51.00, 3: -59.00, 4: -43.00
22:19:14.414 -> 1: -51.00, 2: -48.00, 3: -69.00, 4: -39.00
22:19:16.449 -> 1: -65.00, 2: -51.00, 3: -65.00, 4: -48.00
22:19:18.418 -> 1: -62.00, 2: -50.00, 3: -49.00, 4: -44.00
22:19:20.452 -> 1: -60.00, 2: -47.00, 3: -67.00, 4: -46.00
22:19:22.422 -> 1: -60.00, 2: -49.00, 3: -50.00, 4: -46.00
22:19:24.425 -> 1: -61.00, 2: -47.00, 3: -50.00, 4: -46.00
22:19:26.428 -> 1: -61.00, 2: -50.00, 3: -50.00, 4: -46.00
22:19:28.447 -> 1: -60.00, 2: -50.00, 3: -49.00, 4: -45.00
